cod;nom;tip;nat;sin;ent;pag;rec;token
2.1.1.14.0000;EMPRESTIMOS E FINANCIAMENTOS - TERCEIROS;P;P;C;N;N;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
2.1.1.15.0000;EMPRESTIMO - NPR;P;P;C;N;N;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
2.1.1.16.0000;MUTUOS;P;P;C;N;N;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
2.1.1.17.0000;CONSORCIOS;P;P;C;N;N;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
2.1.1.18.0000;ADIANTAMENTOS USINAS;P;P;C;N;N;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
2.1.1.19.0000;ADIANTAMENTO - NPRS;P;P;C;N;N;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
2.1.1.20.0000;OUTRAS CONTAS A PAGAR;P;P;C;N;N;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
2.1.1.21.0000;OBRIGACOES PARTICULARES;P;P;C;N;N;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
2.1.1.22.0000;SEGUROS A PAGAR;P;P;C;N;N;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
2.1.1.23.0000;ALUGUEIS A PAGAR;P;P;C;N;N;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
2.1.1.24.0000;TARIFAS BANCARIAS;P;P;C;N;N;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
2.1.1.25.0000;OBRIGACOES EM ANDAMENTO;P;P;C;N;N;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
2.2.0.00.0000;PASSIVO NAO CIRCULANTE;P;P;C;N;N;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
2.2.1.00.0000;OBRIGACOES DE LONGO PRAZO;P;P;C;N;N;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
2.2.1.01.0000;EMPREST. /FINANC. BANCARIOS LONGO PRAZO;P;P;C;N;N;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
2.2.1.02.0000;EMPRESTIMOS DE MUTUOS;P;P;C;N;N;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
2.3.0.00.0000;PATRIMONIO LIQUIDO;P;P;C;N;N;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
2.3.1.00.0000;PATRIMONIO LIQUIDO;P;P;C;N;N;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
2.3.1.01.0000;CAPITAIS SOCIAIS SUBSCRITOS;P;P;C;N;N;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
2.3.1.02.0000;RESERVA DE CAPITAL;P;P;C;N;N;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
2.3.1.03.0000;RESERVA PARA REAVALIACAO;P;P;C;N;N;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
2.3.1.04.0000;RESULTADO DO EXERCICIO;P;P;C;N;N;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
2.3.1.04.0001;Lucro Acumulados;P;P;C;N;N;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
2.3.1.04.0002;(-)Prejuizos Acumulados;P;P;C;N;N;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
2.3.1.04.0003;Conta de Zeramento;P;P;C;N;N;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
2.4.0.00.0000;REAVALIAÇÃO PATRIMONIAL;P;P;C;N;N;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
2.4.1.00.0000;AJUSTES PATRIMONIAIS;P;P;C;N;N;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
2.4.1.01.0000;AJUTES DE EXERCICIOS ANTERIORES;P;P;C;N;N;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
2.4.1.01.0001;Ajute de Exercicio Anterior;P;P;C;N;N;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
3.0.0.00.0000;RECEITAS;R;R;C;N;N;S;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
3.1.1.01.0000;RECEITAS OPERACIONAIS;R;R;C;N;N;S;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
3.1.1.01.0001;Venda de Cana;R;R;C;N;N;S;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
3.1.1.01.0002;Fechamento de Safra;R;R;C;N;N;S;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
3.1.1.01.0004;Receitas Pecuarias;R;R;C;N;N;S;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
3.1.1.01.0006;Venda para funcionários (Peças e outros);R;R;C;S;N;S;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
3.1.1.01.0007;Vendas para terceiros (Peças e outros);R;R;C;S;N;S;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
3.1.1.01.0008;Receita Posto de Combustivel;R;R;C;S;N;S;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
3.1.1.02.0000;RECEITAS PRESTACAO DE SERVICOS;R;R;C;N;N;S;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
3.1.1.03.0000;RECEITAS HORAS DE MAQUINA;R;R;C;N;N;S;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
3.1.1.03.0001;Horas Maquinas;R;R;C;N;N;S;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
3.1.1.04.0000;RECEITAS FINANCEIRAS;R;R;C;N;N;S;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
3.1.1.04.0001;Descontos Obtidos;R;R;C;N;N;S;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
3.1.1.04.0002;Ressarcimentos Bancarios;R;R;C;N;N;S;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
3.1.1.04.0003;Ressarcimentos Impostos;R;R;C;N;N;S;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
3.1.1.04.0004;Ressarcimentos Seguros;R;R;C;N;N;S;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
3.1.1.04.0005;Rendimentos BancArios;R;R;C;N;N;S;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
3.1.1.04.0006;Receitas com Juros/Multa;R;R;C;N;N;S;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
3.1.1.05.0000;RECEITAS PRESTACAO DE SERVICO MECANIZADA;R;R;C;N;N;S;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
3.1.2.00.0000;OUTRAS RECEITAS;R;R;C;N;N;S;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
3.1.2.01.0000;OUTRAS RECEITAS;R;R;C;N;N;S;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
3.1.2.02.0000;OUTRAS RECEITAS;R;R;C;N;N;S;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
3.1.2.02.0001;Venda Caminhoes / Carretas;R;R;C;N;N;S;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
3.1.2.02.0002;Venda Maquinas / Implementos;R;R;C;N;N;S;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
3.1.2.02.0003;Venda Veiculos;R;R;C;N;N;S;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
3.1.2.03.0000;OUTRAS RECEITAS;R;R;C;N;N;S;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
3.2.0.00.0000;RECEITA BRUTA;R;R;C;N;N;S;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
3.2.1.00.0000;RECEITA BRUTA;R;R;C;N;N;S;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.0.0.00.0000;DESPESAS;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.0.00.0000;DESPESAS OPERACIONAIS;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.00.0000;CUSTOS;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.01.0000;CUSTO DOS SERVICOS;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.01.0001;Salarios;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.01.0002;Horas Extras;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.01.0003;Ferias;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.01.0004;13o. Salario;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.01.0005;Indenizacoes;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.01.0006;Seg. Acidentes Trabalho;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.01.0007;Acoes Trabalhistas;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.01.0008;Comissoes / Gratificacoes;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.01.0009;DSR - Descanso Semanal Remunerado;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.01.0010;Adicional Noturno;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.01.0011;Adicional de Periculosidade;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.01.0012;Adicional de Insalubridade;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.01.0013;Horario de Percurso;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.01.0014;Salario ProducAo;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.01.0015;Material de EPI;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
