cod;nom;tip;nat;sin;ent;pag;rec;token
4.1.2.01.0016;Alugueis - Estdia Funcionrios;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.01.0017;Cestas Basicas;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.01.0018;Diaristas;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.01.0020;Rescisoes;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.01.0021;Adiantamento - Vale;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.01.0022;Credito Estouro de Salario;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.01.0023;Arrendondamento Atual;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.01.0024;Insalubridade;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.01.0025;Materiais para Alojamento;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.01.0026;Despesas com Viagens;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.01.0027;Salarios SR;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.01.0028;Diaristas;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.01.0029;Tickets de Alimentacao;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.01.0030;Assitencia Medica e Social;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.01.0031;Despesas com Área de Vivencia;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.02.0000;ENCARGOS SOCIAIS;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.02.0001;Despesas com INSS;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.02.0002;Despesas com FGTS;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.02.0003;Multa Rescisoria de FGTS;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.02.0004;Contribuicoes Sindicais (Patronais);D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.02.0005;IRRF S/ Folha;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.03.0000;PROVISOES;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.03.0001;Provisoes de Ferias + 1/3;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.03.0002;Provisao de 13o. Salario;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.03.0003;Provisao de INSS s/ 13o. Salario;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.03.0004;Provisao de INSS s/ Ferias;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.03.0005;Provisao de FGTS s/ 13o. Salario;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.03.0006;Provisao de FGTS s/ Ferias;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.04.0000;MANUTENCOES;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.04.0001;Manutencao de Maquinas;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.04.0002;Manutencao de Caminhoes;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.04.0003;Manutencao de Equipamentos;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.04.0004;Manutencao de Implementos;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.04.0005;Manutencao de Veiculos;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.04.0006;Manutencao de Estabelecimento;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.04.0007;Fretes e Carretos;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.04.0008;Manutenção de Tratores;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.04.0009;Manutencao de Reboques / Transbordo;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.04.0010;Manutencao de Onibus;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.04.0011;Manutencao Frotas Terceiros;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.05.0000;DESPESAS ADMINISTRATIVAS;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.05.0001;Agua e Esgoto Estabelecimento;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.05.0002;Energia Eltrica Estabelecimento;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.05.0003;Material de Escritorio / Limpeza;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.05.0004;Honorarios Contabeis;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.05.0005;Honorarios de Advogados;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.05.0006;Material Higiene e Limpeza;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.05.0007;Copa e Cozinha;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.05.0008;Telefone;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.05.0009;Internet;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.05.0010;Programas e Softwares;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.05.0011;TV por Assinatura;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.05.0012;Aluguel;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.05.0013;Farmacia;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.05.0014;Convenio Aplacana;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.05.0015;Relogio de Ponto;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.05.0016;Uniformes;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.05.0017;Demais Taxas e Impostos;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.05.0018;Despesas Oficina;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.05.0019;Demais Despesas Administrativas;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.06.0000;MANUTECOES DE PROPRIEDADES;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.06.0001;Manutencao em Propriedades;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.06.0002;Adubos;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.06.0003;Herbicida;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.06.0004;Anlise de Solo;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.06.0005;Fertilizantes;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.06.0006;Gesso;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.06.0007;Milho;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.06.0008;Arrendamento - Pagamento;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.06.0009;Farelo de Trigo;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.06.0010;Calcario;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.06.0011;Controle Biológico;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.07.0000;OFICINA;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.07.0001;Ferramentas;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.07.0002;Oxigenio para Solda;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.07.0003;Tornearia;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.08.0000;SEGUROS;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
4.1.2.08.0001;Seguros Tratores;D;R;D;S;S;N;JDJ5JDEwJEVWb25wNHZDbmdhNW1TQnRiYmZNNmUvaGQwVEoxZjZKY1JBNWZuUVVBTUwzMkJVdS51ZmFT
